From,Refund
0x57eb513c19a2e02a31571d9929c98a5da95997d8,690
0x762229e03ac76d5df17447eef0c3e5caf60d9709,690
0xe673f5e474dbf76a1230fea52e8e58f4baca151c,690
0xdc43a997950fc20b396833a99b33864fc24af6ee,80.9
0x7da802843baf9e4c77086c4e84043f178dd27ce3,200
0x6d57070870e10548f0f4c7a394025de6dc22ed06,200
0xb6344d58b788e90f4012369cc80e533e58af8f2a,200
0x44abfdf4ddc985fdb3eb2d9c40c863be90832bc0,690
0x72209e7591fd68e47cdd7b9fb2b09c91c11ac736,100
0xea2908e2903ca2ff77d6072c3ad8f2bd8d334319,690
0x1e59078c552206473e2fe13daa3bf7699a609f93,690
0x0ca0aec49a3bbf0ca19e133c5c9fe8f661f4e0d1,690
0x4514b160c8190fa078a0bae62f76fa6e37c8ef7e,200
0x050eb9b2547303112e2de19d2268f0adf60e1196,690
0xbf63097d3185e5bd8fafc48195bbca516be70749,200
0x3117f6e72b6479781bd38dc3cdbf7497819c90e3,690
0x7562884a4e561a7434e503da00abaf6fbf2ac194,396.51
0x61a1d40346bdedf611cd3c89916894c6f8b8d63e,690
0xf89c3d6f1efbe2c6d2000ed8e4e28991fc07f822,690
0xdec4788f8c2928ec4e3b5bbc8188428a7b5e1630,690
0x36f26728d0ff396230b19df681703ba53f3d5b11,140
c
